"Sample_Name","linear_slope","linear_p_value","DO_mg_per_L_max","b","p_value_a","p_value_b","total_incubation_time_min","linear_AIC","non_linear_AIC","AIC_Diff"
"RS_R01_INC-1",-0.00497691197691201,0.000470663444613226,8.38,-0.001,3.5944805928933e-85,7.15419690997922e-15,108,-81.465728367879,-82.2225516080209,0.757
"RS_R02_INC-1",-0.00527958152958154,0.00150342858672335,8.012,-0.001,2.50756404974657e-57,0.000739709036143903,108,46.2838957924218,46.0497065357482,0.234
"RS_R03_INC-1",-0.00126118326118327,0.000373184841438777,6.812,0,7.0646075064897e-86,0.00130777385983751,108,-106.993366029352,-107.041880828554,0.049
"RS_R04_INC-1",-0.00504437229437233,0.000419450218432502,8.264,-0.001,1.47510368009412e-87,4.70688293734718e-17,108,-94.1375560625081,-95.2172583618305,1.08
"RS_R05_INC-1",-0.00108824089956165,0.000473140858732961,8.004,0,1.34312795692491e-82,0.024819416180441,106,-82.3014667075114,-82.3268892478048,0.025
"RS_R06_INC-1",-0.00546826758147513,0.00040776297725631,7.85,-0.001,2.50141268377278e-85,8.83456506425323e-19,106,-98.3618308346777,-99.4360707493942,1.074
"RS_R07_INC-1",-0.00553821231179723,0.00111977354582766,8.266,-0.001,1.58906598050764e-63,8.16013300483913e-06,106,10.7393031586572,10.7088830263551,0.03
"RS_S01_INC-1",0.000981703830760436,0.000253533787701908,7.773,0,3.42086329781567e-96,0.000310586072518357,106,-149.682239435616,-149.655761829448,-0.026
"RS_S02_INC-1",-0.00131065370688013,0.000247637714233214,7.494,0,1.0402494371144e-95,2.32883171094869e-06,106,-152.223506496264,-152.288047095145,0.065
"RS_S03_INC-1",-1.7343243758332e-05,0.000215180688964017,8.876,0,8.25997665309471e-103,0.936154716630588,106,-167.396292516253,-167.396285155514,0
"RS_S04_INC-1",-0.00171182067408484,0.000519067353648796,7.499,0,4.18510167586919e-78,0.00168675424554029,104,-73.8388929588452,-73.8957433746946,0.057
"RS_S05_INC-1",-0.00115437392795884,0.000272203390495655,7.719,0,3.00082893134115e-94,9.01181438593041e-05,106,-142.008575152181,-142.027772196154,0.019
"RS_S06_INC-1",0.00182180293501049,0.00036529555831378,7.364,0,2.12655124560003e-87,7.79704415755814e-06,106,-110.23959445484,-110.14553157947,-0.094
"RS_S07_INC-1",0.000750685373326897,0.000416986654037414,8.754,0,1.41358394585479e-86,0.0777201638574996,104,-97.0507129609477,-97.050898568384,0
"RS_S08_INC-1",0.000129979035639403,0.00026887341497481,8.685,0,6.46449351352737e-98,0.630888200673915,106,-143.337931329572,-143.337890081594,0
"RS_S09_INC-1",-0.000141414141414147,0.000159676064411664,7.696,0,2.57916377148615e-106,0.379515931440145,106,-199.616032246151,-199.616672682081,0.001
"RS_S10_INC-1",-0.000297979797979828,0.00018489352945161,8.546,0,2.38702194230526e-107,0.112814609182827,108,-184.245673846163,-184.246932898052,0.001
"RS_S11_INC-1",-0.00303427128427132,0.000326237265760608,8.89,0,4.71097158212691e-95,7.93555369500159e-13,108,-121.782747738562,-122.125882792482,0.343
"RS_S12_INC-1",-0.00319554030874784,0.000393597460525471,10.187,0,4.33651283611575e-92,7.69909885354816e-11,106,-102.180425094399,-102.284374208745,0.104
"RS_S13_INC-1",-0.00071812464265294,0.000242412574530623,8.371,0,9.64360455359801e-99,0.00453562502720672,106,-154.526684302939,-154.539775277878,0.013
"RS_S14_INC-1",-0.00160337042412516,0.000294316395547477,8.224,0,1.05416472483496e-92,1.57160915918564e-06,104,-133.980991333528,-133.908927760486,-0.072
"RS_S15_INC-1",0.00284235209235208,0.000327044272996069,7.949,0,9.49643042825251e-93,1.11146054241898e-11,108,-121.510978720799,-121.201448276604,-0.31
"RS_S16_INC-1",0.00110253478178008,0.000533953069638549,7.335,0,4.27248044154533e-78,0.0441576906185139,106,-69.2426674675295,-69.238171490205,-0.004
"RS_S17_INC-1",-0.00140179003386552,0.000591419405618031,7.472,0,3.72169398969167e-75,0.021479277267719,104,-60.0067654094023,-60.0121479578783,0.005
