Series,V,A,Time,Concentration
RS_R01_INC-1,0.05,0.000298,0,8.66
RS_R02_INC-1,0.05,0.000298,0,9.98
RS_R03_INC-1,0.05,0.000298,0,6.97
RS_R04_INC-1,0.05,0.000298,0,8.48
RS_R05_INC-1,0.05,0.000298,0,8.66
RS_R06_INC-1,0.05,0.000298,0,8.4
RS_R07_INC-1,0.05,0.000298,0,8.07
RS_S01_INC-1,0.05,0.000298,0,7.86
RS_S02_INC-1,0.05,0.000298,0,7.76
RS_S03_INC-1,0.05,0.000298,0,8.83
RS_S04_INC-1,0.05,0.000298,0,7.54
RS_S05_INC-1,0.05,0.000298,0,7.87
RS_S06_INC-1,0.05,0.000298,0,7.47
RS_S07_INC-1,0.05,0.000298,0,8.99
RS_S08_INC-1,0.05,0.000298,0,8.72
RS_S09_INC-1,0.05,0.000298,0,7.86
RS_S10_INC-1,0.05,0.000298,0,8.57
RS_S11_INC-1,0.05,0.000298,0,8.93
RS_S12_INC-1,0.05,0.000298,0,9.97
RS_S13_INC-1,0.05,0.000298,0,8.61
RS_S14_INC-1,0.05,0.000298,0,8.3
RS_S15_INC-1,0.05,0.000298,0,7.59
RS_S16_INC-1,0.05,0.000298,0,7.37
RS_S17_INC-1,0.05,0.000298,0,7.7
RS_S18_INC-1,0.05,0.000298,0,8.93
RS_S19_INC-1,0.05,0.000298,0,8.72
RS_S20_INC-1,0.05,0.000298,0,11.1
RS_S21_INC-1,0.05,0.000298,0,8.66
RS_S22_INC-1,0.05,0.000298,0,9.84
RS_S23_INC-1,0.05,0.000298,0,8.29
RS_S24_INC-1,0.05,0.000298,0,8.76
RS_S25_INC-1,0.05,0.000298,0,8.66
RS_S26_INC-1,0.05,0.000298,0,7.76
RS_S27_INC-1,0.05,0.000298,0,7.58
RS_S28_INC-1,0.05,0.000298,0,7.68
RS_S29_INC-1,0.05,0.000298,0,8.91
RS_R01_INC-1,0.05,0.000298,2,8.39
RS_R02_INC-1,0.05,0.000298,2,8.85
RS_R03_INC-1,0.05,0.000298,2,6.87
RS_R04_INC-1,0.05,0.000298,2,8.34
RS_R05_INC-1,0.05,0.000298,2,8
RS_R06_INC-1,0.05,0.000298,2,7.78
RS_R07_INC-1,0.05,0.000298,2,8.95
RS_S01_INC-1,0.05,0.000298,2,7.8
RS_S02_INC-1,0.05,0.000298,2,7.63
RS_S03_INC-1,0.05,0.000298,2,8.8
RS_S04_INC-1,0.05,0.000298,2,7.81
RS_S05_INC-1,0.05,0.000298,2,7.67
RS_S06_INC-1,0.05,0.000298,2,7.28
RS_S07_INC-1,0.05,0.000298,2,8.63
