"Sample_Name","Material","mean_squared_error","SpC","pH","Temp","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Respiration_R_Squared","Respiration_R_Squared_Adj","Respiration_p_Value","Total_Incubation_Time_Min","Number_Points_In_Respiration_Regression","Number_Points_Removed_Respiration_Regression","Methods_Deviation"
"RS_R01_INC-1","Sediment","0.0136973467264906","717.5","7.2","19.6","-1.034","-5.223","0.592","0.551","0.0045","22","12","44","N/A"
"RS_R02_INC-1","Sediment","0.0366263044000003","713.6","6.99","20","-18.84","-99.881","0.912","0.867","0.0692","6","4","52","N/A"
"RS_R03_INC-1","Sediment","0.00787188778588746","716.8","6.95","20.2","-0.54","-2.921","0.343","0.278","0.0039","22","12","44","N/A"
"RS_R04_INC-1","Sediment","0.0142476989628985","705.9","7.1","19.8","-0.813","-4.454","0.715","0.696","0.0022","32","17","39","N/A"
"RS_R05_INC-1","Sediment","0.115107850601283","709.4","7.01","20.1","-0.246","-1.42","0.266","0.238","0.0013","54","28","28","N/A"
"RS_R06_INC-1","Sediment","0.0392144446516121","711.2","7.02","19.8","-0.771","-4.357","0.378","0.321","0.005","24","13","43","N/A"
"RS_R07_INC-1","Sediment","0.2873817664","733.7","7.6","19.4","-8.64","-51.366","0.436","0.154","0.1158","6","4","52","N/A"
"RS_S01_INC-1","Sediment","0.0307589987441829","707.4","7.31","19.9","0.059","0.319","0.224","0.209","3e-04","106","54","2","N/A"
"RS_S02_INC-1","Sediment","0.00426490859377195","705.7","7.36","20","-0.181","-1.02","0.33","0.297","0.001","42","22","34","N/A"
"RS_S03_INC-1","Sediment","0.0159603345487779","721","7.35","19.9","-0.001","-0.005","0","0.019","2e-04","106","54","2","N/A"
"RS_S04_INC-1","Sediment","0.0170269151632715","739.2","7.4","20.1","-1.455","-6.996","0.52","0.451","0.0088","16","9","46","N/A"
"RS_S05_INC-1","Sediment","0.00204705616225919","725.9","6.93","20.3","-0.115","-0.65","0.083","0.012","0.0018","28","15","41","N/A"
"RS_S06_INC-1","Sediment","0.132558134019279","689.2","7.4","20.1","0.109","0.577","0.324","0.311","4e-04","106","54","1","N/A"
"RS_S07_INC-1","Sediment","0.193522920752083","722.1","7.4","20.2","0.045","0.241","0.06","0.041","4e-04","104","53","2","N/A"
"RS_S08_INC-1","Sediment","0.0389063302141605","722.4","7.41","20.2","0.008","0.044","0.004","0.015","3e-04","106","54","1","N/A"
"RS_S09_INC-1","Sediment","0.00243020913981745","719.7","6.63","20.1","-0.029","-0.167","0.069","0.042","3e-04","70","36","20","N/A"
"RS_S10_INC-1","Sediment","0.010089857523151","745.5","6.43","19.8","-0.018","-0.102","0.047","0.029","2e-04","108","55","1","N/A"
"RS_S11_INC-1","Sediment","0.0090035573670059","713.2","7.56","19.9","-0.376","-2.003","0.683","0.669","9e-04","48","25","31","N/A"
"RS_S12_INC-1","Sediment","0.0974605285111542","702.6","7.2","20","-0.233","-1.26","0.507","0.494","6e-04","78","40","16","N/A"
"RS_S13_INC-1","Sediment","0.000695233071074368","713.1","7.15","20","-0.365","-1.915","0.317","0.232","0.0032","18","10","46","N/A"
"RS_S14_INC-1","Sediment","0.0409770597667432","730.6","7.4","20.3","-0.092","-0.443","0.342","0.328","3e-04","100","51","4","N/A"
"RS_S15_INC-1","Sediment","0.0987698458861894","715.9","7.22","20.1","0.171","0.806","0.588","0.58","3e-04","108","55","1","N/A"
"RS_S16_INC-1","Sediment","0.605119524547584","719.6","7.32","20.1","0.066","0.325","0.076","0.058","5e-04","106","54","2","N/A"
"RS_S17_INC-1","Sediment","0.74883514351907","728","7.4","20.3","-0.078","-0.443","0.071","0.051","7e-04","96","49","6","N/A"
"RS_S18_INC-1","Sediment","0.0844708001716358","727.7","7.25","20.1","-0.017","-0.098","0.016","0.003","3e-04","108","55","1","N/A"
"RS_S19_INC-1","Sediment","0.0111505920132233","713.9","6.95","20.2","-0.469","-2.464","0.203","0.114","0.0052","20","11","45","N/A"
"RS_S20_INC-1","Sediment","17.7576465948597","706.9","7.35","20","0.107","0.573","0.04","0.022","0.0012","108","55","1","N/A"
"RS_S21_INC-1","Sediment","0.00157838461234567","708.4","7.36","20","-0.78","-4.358","0.505","0.434","0.0049","16","9","47","N/A"
"RS_S22_INC-1","Sediment","0.111860313816993","702.7","6.69","20.2","-0.06","-0.343","0.134","0.117","4e-04","106","54","2","N/A"
"RS_S23_INC-1","Sediment","0.000989851451247173","746.8","7.43","20.2","-1.979","-9.84","0.853","0.829","0.0056","14","8","47","N/A"
"RS_S24_INC-1","Sediment","0.0016337764","719.5","6.92","20.3","-2.58","-12.942","0.478","0.217","0.0318","6","4","52","N/A"
"RS_S25_INC-1","Sediment","0.00358042325658552","722.9","7.18","20","0.04","0.201","0.276","0.262","1e-04","106","54","2","N/A"
"RS_S26_INC-1","Sediment","0.00436443406742976","721.7","7.13","20.1","-0.145","-0.848","0.442","0.422","5e-04","58","30","26","N/A"
"RS_S27_INC-1","Sediment","0.058841545892421","701.7","7.15","20.1","0.05","0.282","0.132","0.115","3e-04","106","54","2","N/A"
"RS_S28_INC-1","Sediment","0.0125909271305247","717.5","7.23","20.2","0.042","0.231","0.185","0.169","2e-04","106","54","2","N/A"
"RS_S29_INC-1","Sediment","0.089382633800511","724.7","7.23","20","0.019","0.109","0.019","0.001","3e-04","108","55","1","N/A"
