Column_or_Row_Name,Unit,Definition,header_count,file_name
A,m^2,cross sectional area of 50 mL tube,1,RS_INC_Raw_DO_By_Min_HMR.csv
Concentration,mg L^-1,DO concentration in tube,1,RS_INC_Raw_DO_By_Min_HMR.csv
DO_mg_per_L,mg L^-1,DO concentration in tube,1,RS_INC_Raw_DO_By_Min_ReadyForBoye_2024-08-28.csv
DO_mg_per_L_max,mg L^-1,predicted DO when t = 0,2,"Combined_Fits_RS_Sediment_Incubations_Respiration_Rates_2024-11-05.csv, RS_Sediment_Incubations_Respiration_Rates_Non_Linear_Script_2024-11-12.csv"
Dry_Sediment_Mass_g,g,dry sediment mass in incubation estimated using gravimetric moisture,1,RS_Drying_Masses_ReadyForBoye_on_2024-08-28.csv
Elapsed_Minute,minute,minutes elapsed in incubation experiment,1,RS_INC_Raw_DO_By_Min_ReadyForBoye_2024-08-28.csv
Gravimetric_Moisture,g g^-1,gravimetric moisture of sample (grams water per gram dry sediment),1,RS_Drying_Masses_ReadyForBoye_on_2024-08-28.csv
Incubation_Water_Mass_g,g,water mass used in incubation,1,RS_Drying_Masses_ReadyForBoye_on_2024-08-28.csv
Material,N/A,soil or sediment,4,"RS_Sediment_Incubations_Respiration_Rates_ReadyForBoye_2024-08-28.csv, RS_Sediment_Incubations_Respiration_Rates_New_Script_2024-11-12.csv, RS_Sediment_Incubations_Respiration_Rates_Non_Linear_Script_2024-11-12.csv, RS_Sediment_Incubations_Respiration_Rates_Original_Script_2024-11-12.csv"
Method,N/A,"The method used for estimating the flux ('HMR', 'LR', 'No flux' or 'None')",1,HMR - RS_INC_Raw_DO_By_Min_HMR.csv
Methods_Deviation,N/A,methods deviations,5,"RS_Sediment_Incubations_Respiration_Rates_ReadyForBoye_2024-08-28.csv, RS_Drying_Masses_ReadyForBoye_on_2024-08-28.csv, RS_INC_Raw_DO_By_Min_ReadyForBoye_2024-08-28.csv, RS_Sediment_Incubations_Respiration_Rates_New_Script_2024-11-12.csv, RS_Sediment_Incubations_Respiration_Rates_Original_Script_2024-11-12.csv"
Number_Points_In_Respiration_Regression,N/A,number of points included in final linear regression,3,"RS_Sediment_Incubations_Respiration_Rates_ReadyForBoye_2024-08-28.csv, RS_Sediment_Incubations_Respiration_Rates_New_Script_2024-11-12.csv, RS_Sediment_Incubations_Respiration_Rates_Original_Script_2024-11-12.csv"
Number_Points_Removed_Respiration_Regression,N/A,number of points removed from final linear regression,3,"RS_Sediment_Incubations_Respiration_Rates_ReadyForBoye_2024-08-28.csv, RS_Sediment_Incubations_Respiration_Rates_New_Script_2024-11-12.csv, RS_Sediment_Incubations_Respiration_Rates_Original_Script_2024-11-12.csv"
Prefilter,N/A,"The prefiltering classification ('Signal', 'Noise' or 'None')",1,HMR - RS_INC_Raw_DO_By_Min_HMR.csv
Prefilter.p,N/A,The prefiltering p-value,1,HMR - RS_INC_Raw_DO_By_Min_HMR.csv
Respiration_R_Squared,N/A,R squared of linear regression,3,"RS_Sediment_Incubations_Respiration_Rates_ReadyForBoye_2024-08-28.csv, RS_Sediment_Incubations_Respiration_Rates_New_Script_2024-11-12.csv, RS_Sediment_Incubations_Respiration_Rates_Original_Script_2024-11-12.csv"
Respiration_R_Squared_Adj,N/A,Adjusted R squared of linear regression,3,"RS_Sediment_Incubations_Respiration_Rates_ReadyForBoye_2024-08-28.csv, RS_Sediment_Incubations_Respiration_Rates_New_Script_2024-11-12.csv, RS_Sediment_Incubations_Respiration_Rates_Original_Script_2024-11-12.csv"
